                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.41755,                0.30344,                 0.7885,                0.99934,                0.99909,                  0.995,                0.94691,                 0.3279,                0.19031,                0.77145,              0.0028225,              0.0028225,              0.0028225
                     89,                0.41735,                0.30298,                0.78852,                0.99934,                0.99908,                  0.995,                0.94702,                0.32734,                0.19011,                0.77139,                0.00274,                0.00274,                0.00274
                     90,                0.41518,                0.29902,                0.78793,                0.99935,                0.99907,                  0.995,                0.94741,                0.32648,                0.18969,                0.77132,              0.0026575,              0.0026575,              0.0026575
                     91,                0.41589,                0.30055,                0.78906,                0.99935,                0.99907,                  0.995,                0.94757,                0.32591,                0.18944,                0.77126,               0.002575,               0.002575,               0.002575
                     92,                0.41488,                0.29878,                0.78761,                0.99935,                0.99907,                  0.995,                0.94773,                 0.3254,                 0.1891,                0.77123,              0.0024925,              0.0024925,              0.0024925
                     93,                0.41071,                0.29464,                0.78809,                0.99935,                0.99906,                  0.995,                0.94795,                0.32498,                0.18892,                 0.7712,                0.00241,                0.00241,                0.00241
                     94,                0.41157,                0.29636,                0.78855,                0.99935,                0.99907,                  0.995,                0.94809,                0.32456,                0.18871,                0.77117,              0.0023275,              0.0023275,              0.0023275
                     95,                0.41052,                0.29482,                0.78831,                0.99936,                0.99908,                  0.995,                0.94816,                0.32435,                0.18847,                0.77115,               0.002245,               0.002245,               0.002245
                     96,                0.40807,                0.29329,                0.78796,                0.99935,                0.99908,                  0.995,                0.94839,                0.32398,                0.18828,                0.77111,              0.0021625,              0.0021625,              0.0021625
                     97,                0.40828,                0.29423,                0.78768,                0.99935,                0.99908,                  0.995,                0.94844,                0.32352,                0.18803,                0.77107,                0.00208,                0.00208,                0.00208
                     98,                0.40572,                   0.29,                0.78789,                0.99935,                0.99909,                  0.995,                0.94867,                0.32337,                0.18808,                0.77105,              0.0019975,              0.0019975,              0.0019975
                     99,                0.40537,                0.29052,                0.78718,                0.99935,                 0.9991,                  0.995,                0.94854,                0.32304,                0.18789,                0.77104,               0.001915,               0.001915,               0.001915
                    100,                0.40212,                 0.2864,                0.78656,                0.99935,                 0.9991,                  0.995,                 0.9488,                 0.3227,                0.18764,                0.77101,              0.0018325,              0.0018325,              0.0018325
                    101,                0.40239,                0.28663,                0.78738,                0.99935,                 0.9991,                  0.995,                0.94881,                0.32249,                0.18776,                0.77098,                0.00175,                0.00175,                0.00175
                    102,                0.39889,                0.28326,                0.78686,                0.99936,                0.99911,                  0.995,                0.94879,                0.32222,                0.18797,                0.77094,              0.0016675,              0.0016675,              0.0016675
                    103,                0.39804,                0.28122,                0.78753,                0.99936,                0.99911,                  0.995,                0.94889,                0.32187,                0.18783,                0.77089,               0.001585,               0.001585,               0.001585
                    104,                0.40007,                0.28241,                0.78835,                0.99938,                0.99915,                  0.995,                0.94897,                 0.3216,                0.18767,                0.77087,              0.0015025,              0.0015025,              0.0015025
                    105,                0.39609,                0.28031,                 0.7864,                0.99938,                0.99915,                  0.995,                0.94912,                0.32119,                0.18773,                 0.7708,                0.00142,                0.00142,                0.00142
                    106,                 0.3956,                0.28227,                0.78624,                0.99938,                0.99915,                  0.995,                0.94944,                0.32079,                0.18778,                0.77075,              0.0013375,              0.0013375,              0.0013375
                    107,                  0.393,                 0.2764,                0.78596,                0.99938,                0.99915,                  0.995,                0.94942,                0.32053,                0.18791,                0.77071,               0.001255,               0.001255,               0.001255
